pl_hostname,is_transiting,Tmag,total_sectors_obsd
KELT-11,1,7.309,1
WASP-62,1,9.716,10
WASP-100,1,10.307,12
WASP-126,1,10.555,10
KELT-15,1,10.667,3
K2-223,1,10.778,1
K2-223,1,10.778,1
K2-132,1,10.947,1
WASP-106,1,10.955,1
WASP-66,1,11.194,1
K2-131,1,11.274,1
WASP-31,1,11.394,1
K2-226,1,11.44,1
HATS-1,1,11.46,1
WASP-19,1,11.545,1
K2-249,1,11.895,1
K2-252,1,12.027,1
HATS-22,1,12.389,1
HATS-2,1,12.669,1
K2-248,1,12.737,1
HATS-18,1,13.339,1
K2-43,1,13.722,1
HR 2562,0,5.565,11
HD 38283,0,6.145,12
HD 90156,0,6.268,1
HD 85512,0,6.40529,1
HD 103774,0,6.688,1
HD 76920,0,6.8039999999999985,2
HD 106270,0,6.882999999999999,1
HD 104067,0,6.983,1
HD 98219,0,7.171,1
HD 65216,0,7.331,9
HD 65216,0,7.331,9
HD 63765,0,7.397,3
HD 98649,0,7.4060000000000015,1
HD 96063,0,7.409,1
HD 93083,0,7.43,1
HD 96167,0,7.479,1
HD 76700,0,7.499,3
HD 83443,0,7.505,2
HD 85390,0,7.72,1
HD 30177,0,7.735,9
HD 30177,0,7.735,9
HD 100777,0,7.75,1
GJ 433,0,7.802,1
AB Pic,0,8.265,12
HD 68402,0,8.514,5
HD 95872,0,9.085,1
BD-10 3166,0,9.278,1
GJ 3634,0,9.663,1
GJ 1132,0,10.938,1
GJ 1132,0,10.938,1
